1,1,Dashboard,systemadmin.index,systemadmin/index,System Management
2,1,User List,systemadmin.users,systemadmin/users,System Management
3,1,Dashboard,systemadmin.index,systemadmin/index,System Management
4,2,WFP,wfp.index,wfp/index,Financial Management
5,3,WFP,wfp.index,wfp/index,Financial Management
6,4,WFP,wfp.index,wfp/index,Financial Management
7,5,WFP,wfp.index,wfp/index,Financial Management
8,6,WFP,wfp.index,wfp/index,Financial Management
9,7,WFP,wfp.index,wfp/index,Financial Management
10,8,WFP,wfp.index,wfp/index,Financial Management
11,9,WFP,wfp.index,wfp/index,Financial Management
12,10,WFP,wfp.index,wfp/index,Financial Management
13,11,WFP,wfp.index,wfp/index,Financial Management
14,12,WFP,wfp.index,wfp/index,Financial Management
15,13,WFP,wfp.index,wfp/index,Financial Management
16,14,WFP,wfp.index,wfp/index,Financial Management
17,15,WFP,wfp.index,wfp/index,Financial Management
18,16,WFP,wfp.index,wfp/index,Financial Management
19,17,WFP,wfp.index,wfp/index,Financial Management
20,18,WFP,wfp.index,wfp/index,Financial Management
21,19,WFP,wfp.index,wfp/index,Financial Management
22,20,WFP,wfp.index,wfp/index,Financial Management
23,21,WFP,wfp.index,wfp/index,Financial Management
24,22,WFP,wfp.index,wfp/index,Financial Management
25,23,WFP,wfp.index,wfp/index,Financial Management
26,24,WFP,wfp.index,wfp/index,Financial Management
27,9,APP,pt.app,pt/app,Financial Management
28,7,Inventory,inv.index,inv/index,TWG
29,7,Item Request,inv.twg.index,inv/twg/index,TWG
30,13,Annual Budget,budget.annual,budget/annual,Budget Allocation
31,2,Annual Budget,budget.annual,budget/annual,Budget Allocation
32,9,Abstract of Canvas,bac.abstractCanvas,bac/abstractCanvas,Bids & Awards
33,9,Abstract of Bids,bac.abstract,bac/abstract,Bids & Awards
34,9,Items,bac.abstract.item,bac/abstract/item,hidden
35,2,PPMP,ppmp.index,ppmp/index,Financial Management
36,3,PPMP,ppmp.index,ppmp/index,Financial Management
37,4,PPMP,ppmp.index,ppmp/index,Financial Management
38,5,PPMP,ppmp.index,ppmp/index,Financial Management
39,6,PPMP,ppmp.index,ppmp/index,Financial Management
40,7,PPMP,ppmp.index,ppmp/index,Financial Management
41,8,PPMP,ppmp.index,ppmp/index,Financial Management
42,9,PPMP,ppmp.index,ppmp/index,Financial Management
43,10,PPMP,ppmp.index,ppmp/index,Financial Management
44,11,PPMP,ppmp.index,ppmp/index,Financial Management
45,12,PPMP,ppmp.index,ppmp/index,Financial Management
46,13,PPMP,ppmp.index,ppmp/index,Financial Management
47,14,PPMP,ppmp.index,ppmp/index,Financial Management
48,15,PPMP,ppmp.index,ppmp/index,Financial Management
49,16,PPMP,ppmp.index,ppmp/index,Financial Management
50,17,PPMP,ppmp.index,ppmp/index,Financial Management
51,18,PPMP,ppmp.index,ppmp/index,Financial Management
52,19,PPMP,ppmp.index,ppmp/index,Financial Management
53,20,PPMP,ppmp.index,ppmp/index,Financial Management
54,21,PPMP,ppmp.index,ppmp/index,Financial Management
55,22,PPMP,ppmp.index,ppmp/index,Financial Management
56,23,PPMP,ppmp.index,ppmp/index,Financial Management
57,24,PPMP,ppmp.index,ppmp/index,Financial Management
58,24,Division WFP,wfp.manage.division,wfp/manage/division,Financial Management
59,25,Division WFP,wfp.manage.division,wfp/manage/division,Financial Management
60,26,Division WFP,wfp.manage.division,wfp/manage/division,Financial Management
61,27,Division WFP,wfp.manage.division,wfp/manage/division,Financial Management
62,8,Pruchase Order,pt.po,pt/po,Orders
63,8,Office Pruchase Requests,pt.officePR,pt/officePR,Requests
64,8,Pruchase Order,pt.poItem,pt/poItem,hidden
65,27,WFP,wfp.index,wfp/index,Financial Management
66,39,WFP,wfp.index,wfp/index,Financial Management
67,40,WFP,wfp.index,wfp/index,Financial Management
68,41,WFP,wfp.index,wfp/index,Financial Management
69,42,WFP,wfp.index,wfp/index,Financial Management
70,43,WFP,wfp.index,wfp/index,Financial Management
71,44,WFP,wfp.index,wfp/index,Financial Management
72,45,WFP,wfp.index,wfp/index,Financial Management
73,46,WFP,wfp.index,wfp/index,Financial Management
74,47,WFP,wfp.index,wfp/index,Financial Management
75,48,WFP,wfp.index,wfp/index,Financial Management
76,49,WFP,wfp.index,wfp/index,Financial Management
77,50,WFP,wfp.index,wfp/index,Financial Management
78,51,WFP,wfp.index,wfp/index,Financial Management
79,52,WFP,wfp.index,wfp/index,Financial Management
80,53,WFP,wfp.index,wfp/index,Financial Management
81,54,WFP,wfp.index,wfp/index,Financial Management
82,55,WFP,wfp.index,wfp/index,Financial Management
83,56,WFP,wfp.index,wfp/index,Financial Management
84,57,WFP,wfp.index,wfp/index,Financial Management
85,58,WFP,wfp.index,wfp/index,Financial Management
86,59,WFP,wfp.index,wfp/index,Financial Management
87,60,WFP,wfp.index,wfp/index,Financial Management
88,61,WFP,wfp.index,wfp/index,Financial Management
89,62,WFP,wfp.index,wfp/index,Financial Management
90,63,WFP,wfp.index,wfp/index,Financial Management
91,64,WFP,wfp.index,wfp/index,Financial Management
92,65,WFP,wfp.index,wfp/index,Financial Management
93,66,WFP,wfp.index,wfp/index,Financial Management
94,67,WFP,wfp.index,wfp/index,Financial Management
95,68,WFP,wfp.index,wfp/index,Financial Management
96,69,WFP,wfp.index,wfp/index,Financial Management
97,70,WFP,wfp.index,wfp/index,Financial Management
98,71,WFP,wfp.index,wfp/index,Financial Management
99,72,WFP,wfp.index,wfp/index,Financial Management
100,73,WFP,wfp.index,wfp/index,Financial Management
101,74,WFP,wfp.index,wfp/index,Financial Management
102,75,WFP,wfp.index,wfp/index,Financial Management
103,76,WFP,wfp.index,wfp/index,Financial Management
104,77,WFP,wfp.index,wfp/index,Financial Management
105,78,WFP,wfp.index,wfp/index,Financial Management
106,79,WFP,wfp.index,wfp/index,Financial Management
107,80,WFP,wfp.index,wfp/index,Financial Management
108,81,WFP,wfp.index,wfp/index,Financial Management
109,82,WFP,wfp.index,wfp/index,Financial Management
110,83,WFP,wfp.index,wfp/index,Financial Management
111,84,WFP,wfp.index,wfp/index,Financial Management
112,85,WFP,wfp.index,wfp/index,Financial Management
113,86,WFP,wfp.index,wfp/index,Financial Management
114,87,WFP,wfp.index,wfp/index,Financial Management
115,88,WFP,wfp.index,wfp/index,Financial Management
116,89,WFP,wfp.index,wfp/index,Financial Management
117,90,WFP,wfp.index,wfp/index,Financial Management
118,91,WFP,wfp.index,wfp/index,Financial Management
119,92,WFP,wfp.index,wfp/index,Financial Management
120,93,WFP,wfp.index,wfp/index,Financial Management
121,94,WFP,wfp.index,wfp/index,Financial Management
122,95,WFP,wfp.index,wfp/index,Financial Management
123,96,WFP,wfp.index,wfp/index,Financial Management
124,97,WFP,wfp.index,wfp/index,Financial Management
125,98,WFP,wfp.index,wfp/index,Financial Management
126,99,WFP,wfp.index,wfp/index,Financial Management
127,100,WFP,wfp.index,wfp/index,Financial Management
128,101,WFP,wfp.index,wfp/index,Financial Management
129,102,WFP,wfp.index,wfp/index,Financial Management
130,103,WFP,wfp.index,wfp/index,Financial Management
131,104,WFP,wfp.index,wfp/index,Financial Management
132,105,WFP,wfp.index,wfp/index,Financial Management
133,106,WFP,wfp.index,wfp/index,Financial Management
134,107,WFP,wfp.index,wfp/index,Financial Management
135,27,PPMP,ppmp.index,ppmp/index,Financial Management
136,39,PPMP,ppmp.index,ppmp/index,Financial Management
137,40,PPMP,ppmp.index,ppmp/index,Financial Management
138,41,PPMP,ppmp.index,ppmp/index,Financial Management
139,42,PPMP,ppmp.index,ppmp/index,Financial Management
140,43,PPMP,ppmp.index,ppmp/index,Financial Management
141,44,PPMP,ppmp.index,ppmp/index,Financial Management
142,45,PPMP,ppmp.index,ppmp/index,Financial Management
143,46,PPMP,ppmp.index,ppmp/index,Financial Management
144,47,PPMP,ppmp.index,ppmp/index,Financial Management
145,48,PPMP,ppmp.index,ppmp/index,Financial Management
146,49,PPMP,ppmp.index,ppmp/index,Financial Management
147,50,PPMP,ppmp.index,ppmp/index,Financial Management
148,51,PPMP,ppmp.index,ppmp/index,Financial Management
149,52,PPMP,ppmp.index,ppmp/index,Financial Management
150,53,PPMP,ppmp.index,ppmp/index,Financial Management
151,54,PPMP,ppmp.index,ppmp/index,Financial Management
152,55,PPMP,ppmp.index,ppmp/index,Financial Management
153,56,PPMP,ppmp.index,ppmp/index,Financial Management
154,57,PPMP,ppmp.index,ppmp/index,Financial Management
155,58,PPMP,ppmp.index,ppmp/index,Financial Management
156,59,PPMP,ppmp.index,ppmp/index,Financial Management
157,60,PPMP,ppmp.index,ppmp/index,Financial Management
158,61,PPMP,ppmp.index,ppmp/index,Financial Management
159,62,PPMP,ppmp.index,ppmp/index,Financial Management
160,63,PPMP,ppmp.index,ppmp/index,Financial Management
161,64,PPMP,ppmp.index,ppmp/index,Financial Management
162,65,PPMP,ppmp.index,ppmp/index,Financial Management
163,66,PPMP,ppmp.index,ppmp/index,Financial Management
164,67,PPMP,ppmp.index,ppmp/index,Financial Management
165,68,PPMP,ppmp.index,ppmp/index,Financial Management
166,69,PPMP,ppmp.index,ppmp/index,Financial Management
167,70,PPMP,ppmp.index,ppmp/index,Financial Management
168,71,PPMP,ppmp.index,ppmp/index,Financial Management
169,72,PPMP,ppmp.index,ppmp/index,Financial Management
170,73,PPMP,ppmp.index,ppmp/index,Financial Management
171,74,PPMP,ppmp.index,ppmp/index,Financial Management
172,75,PPMP,ppmp.index,ppmp/index,Financial Management
173,76,PPMP,ppmp.index,ppmp/index,Financial Management
174,77,PPMP,ppmp.index,ppmp/index,Financial Management
175,78,PPMP,ppmp.index,ppmp/index,Financial Management
176,79,PPMP,ppmp.index,ppmp/index,Financial Management
177,80,PPMP,ppmp.index,ppmp/index,Financial Management
178,81,PPMP,ppmp.index,ppmp/index,Financial Management
179,82,PPMP,ppmp.index,ppmp/index,Financial Management
180,83,PPMP,ppmp.index,ppmp/index,Financial Management
181,84,PPMP,ppmp.index,ppmp/index,Financial Management
182,85,PPMP,ppmp.index,ppmp/index,Financial Management
183,86,PPMP,ppmp.index,ppmp/index,Financial Management
184,87,PPMP,ppmp.index,ppmp/index,Financial Management
185,88,PPMP,ppmp.index,ppmp/index,Financial Management
186,89,PPMP,ppmp.index,ppmp/index,Financial Management
187,90,PPMP,ppmp.index,ppmp/index,Financial Management
188,91,PPMP,ppmp.index,ppmp/index,Financial Management
189,92,PPMP,ppmp.index,ppmp/index,Financial Management
190,93,PPMP,ppmp.index,ppmp/index,Financial Management
191,94,PPMP,ppmp.index,ppmp/index,Financial Management
192,95,PPMP,ppmp.index,ppmp/index,Financial Management
193,96,PPMP,ppmp.index,ppmp/index,Financial Management
194,97,PPMP,ppmp.index,ppmp/index,Financial Management
195,98,PPMP,ppmp.index,ppmp/index,Financial Management
196,99,PPMP,ppmp.index,ppmp/index,Financial Management
197,100,PPMP,ppmp.index,ppmp/index,Financial Management
198,101,PPMP,ppmp.index,ppmp/index,Financial Management
199,102,PPMP,ppmp.index,ppmp/index,Financial Management
200,103,PPMP,ppmp.index,ppmp/index,Financial Management
201,104,PPMP,ppmp.index,ppmp/index,Financial Management
202,105,PPMP,ppmp.index,ppmp/index,Financial Management
203,106,PPMP,ppmp.index,ppmp/index,Financial Management
204,107,PPMP,ppmp.index,ppmp/index,Financial Management
205,42,APP,pt.app,pt/app,Financial Management
206,2,APP,pt.app,pt/app,Financial Management
207,4,Item Request,inv.twg.index,inv/twg/index,TWG
208,46,Item Request,inv.twg.index,inv/twg/index,TWG
209,55,Item Request,inv.twg.index,inv/twg/index,TWG
210,66,Item Request,inv.twg.index,inv/twg/index,TWG
211,87,Item Request,inv.twg.index,inv/twg/index,TWG
212,82,Item Request,inv.twg.index,inv/twg/index,TWG
213,23,Division WFP,wfp.manage.division,wfp/manage/division,Financial Management
214,29,WFP,wfp.index,wfp/index,Financial Management
215,30,WFP,wfp.index,wfp/index,Financial Management
216,31,WFP,wfp.index,wfp/index,Financial Management
217,32,WFP,wfp.index,wfp/index,Financial Management
218,33,WFP,wfp.index,wfp/index,Financial Management
219,34,WFP,wfp.index,wfp/index,Financial Management
220,29,PPMP,ppmp.index,ppmp/index,Financial Management
221,30,PPMP,ppmp.index,ppmp/index,Financial Management
222,31,PPMP,ppmp.index,ppmp/index,Financial Management
223,32,PPMP,ppmp.index,ppmp/index,Financial Management
224,33,PPMP,ppmp.index,ppmp/index,Financial Management
225,34,PPMP,ppmp.index,ppmp/index,Financial Management
226,35,PPMP,ppmp.index,ppmp/index,Financial Management
227,35,WFP,wfp.index,wfp/index,Financial Management
228,18,Division WFP,wfp.manage.division,wfp/manage/division,Financial Management
229,19,Division WFP,wfp.manage.division,wfp/manage/division,Financial Management
